scope,baseline,kss_mean,baseline_mean,n_pairs,mean_difference,se_naive,se_corrected,t_corrected,p_corrected_t,ci95_low,ci95_high,p_wilcoxon,cohen_dz,wins,ties,losses,tost_p_margin_0.01,equivalent_margin_0.01,tost_p_margin_0.02,equivalent_margin_0.02,p_corrected_t_holm,significant_holm
HCMV / UL55,ANOVA,0.9973362128203195,0.997439555532358,100,-0.00010334271203835121,8.689016372640772e-05,0.000579793652941699,-0.17824050248570558,0.85889832560405,-0.0012537791066274822,0.0010470936825507798,0.190242836673562,-0.11893488009039534,11,51,38,1.4806941890127203e-31,True,4.494500744075322e-57,True,1.0,False
HCMV / UL55,Chi2,0.9973362128203195,0.9975836711496193,100,-0.0002474583292997501,7.029455592618432e-05,0.0004690558242091361,-0.5275669046791684,0.5989803548480562,-0.0011781668469358565,0.0006832501883363563,0.0037113450558231707,-0.35203057482801925,7,52,41,3.352442890956614e-38,True,2.5955021829016992e-65,True,1.0,False
HCMV / UL55,MI,0.9973362128203195,0.9975548480261669,100,-0.0002186352058474683,6.179221775762208e-05,0.0004123221101282392,-0.530253412264186,0.5971235843599701,-0.0010367717262778021,0.0005995013145828655,0.010314835149471015,-0.3538232058688323,7,55,38,6.2458979591968524e-43,True,1.1711736276224579e-70,True,1.0,False
HCMV / UL55,NMI,0.9973362128203195,0.9975260249027147,100,-0.00018981208239518877,5.930946435968422e-05,0.0003957553941708803,-0.47961969739629423,0.632555715014014,-0.0009750766441908138,0.0005954524794004362,0.017535479764878438,-0.3200367503642708,7,57,36,1.4982189582593345e-44,True,2.0627240471485139e-72,True,1.0,False
HCMV / UL55,OddsRatio,0.9973362128203195,0.9972210404693278,100,0.00011517235099169465,0.0001181789954823453,0.0007885752374392757,0.14605118893371732,0.8841779543339983,-0.0014495320027366001,0.0016798767047199895,0.8161372205904978,0.09745585543490272,17,45,38,1.8655056988651735e-22,True,3.465300201992031e-45,True,1.0,False
HCMV / UL55,SymChi2,0.9973362128203195,0.9970047469006182,100,0.00033146591970122265,7.624506022426404e-05,0.0005087618677458036,0.6515148652352133,0.5162237607398212,-0.0006780280026007677,0.001340959842003213,0.00016154236954810854,0.43473756690107224,18,82,0,4.204112889585551e-35,True,7.625590243508539e-62,True,1.0,False
HCMV / UL73,Random,0.9993766438061324,0.8662725784601679,100,0.13310406534596442,0.004521993848590949,0.0304005909823029,4.378338086369713,2.9709233447036614e-05,0.07278269738063384,0.193425433311295,3.8965598450959084e-18,2.9434817870758403,100,0,0,0.9999489551881756,False,0.9998349410388551,False,0.0002376738675762929,True
HCMV / UL73,ANOVA,0.9993766438061324,0.9990044726580932,100,0.0003721711480392487,0.00010087896692650615,0.0006781920354017249,0.5487695646835402,0.5843991245998865,-0.0009735089850357495,0.001717851281114247,0.001733512082610978,0.36892838951293816,27,63,10,6.528118722416705e-26,True,2.07801704531092e-50,True,1.0,False
HCMV / UL73,Chi2,0.9993766438061324,0.9993656412801313,100,1.1002526001067104e-05,5.530739123000614e-05,0.0003718221287730278,0.029590831609119746,0.9764529485938056,-0.0007267732448853223,0.0007487782968874565,0.5069569723304104,0.019893409825299913,18,72,10,1.4468027297619575e-47,True,2.2589948051584714e-75,True,1.0,False
HCMV / UL73,CramerV,0.9993766438061324,0.9819990608049832,100,0.0173775830011491,0.0032094704900957082,0.021576721000974727,0.805385721044642,0.42252728373525056,-0.025435312568635602,0.060190478570933806,5.2855349152488e-08,0.541447041023608,47,45,8,0.633433299104057,False,0.4517551687146727,False,1.0,False
HCMV / UL73,MI,0.9993766438061324,0.9991264835957366,100,0.0002501602103957945,4.851830357873062e-05,0.00032618025402927014,0.7669385479519129,0.44494315637772797,-0.00039705217892184707,0.000897372599713436,9.120456873216726e-06,0.5155996643408187,35,61,4,1.1770267142418188e-51,True,2.4564516460600038e-80,True,1.0,False
HCMV / UL73,NMI,0.9993766438061324,0.9991892847567598,100,0.00018735904937250636,6.317066714329309e-05,0.0004246855874208802,0.44117119799223636,0.6600510535194902,-0.0006553092922824395,0.0010300273910274522,0.005270025613932227,0.2965918484721884,33,57,10,5.714298386111273e-42,True,1.6615879424573296e-69,True,1.0,False
HCMV / UL73,OddsRatio,0.9993766438061324,0.9983777544475189,100,0.0009988893586135982,0.00038811645084953987,0.0026092404967460276,0.3828276312050609,0.7026682930400718,-0.004178409865795634,0.0061761885830228305,4.9005386216263e-07,0.2573684667133152,32,63,5,0.00041303226575886866,True,3.9930564423328394e-11,True,1.0,False
HCMV / UL73,SymChi2,0.9993766438061324,0.9992841084324293,100,9.253537370306431e-05,6.053493893710872e-05,0.0004069660376338548,0.2273786142968468,0.8205982517026514,-0.0007149735368899862,0.0009000442842961148,0.06317138786816104,0.15286275220199966,27,64,9,6.981476529863981e-44,True,1.8480981841612565e-71,True,1.0,False
HCMV / US28,SymChi2,0.9690777290985289,0.9250775867931076,100,0.04400014230542133,0.0003179564427695376,0.0021400068777689715,20.560748081002874,1.650050372391377e-37,0.039753904382040614,0.04824638022880205,3.7076088038785606e-18,13.838418219225609,100,0,0,1.0,False,1.0,False,1.3200402979131015e-36,True
HCMV / US28,MI,0.9690777290985289,0.925663339876336,100,0.04341438922219283,0.0003611374655484688,0.0024306368927832942,17.861322417631666,9.879289271706453e-33,0.038591478296380884,0.04823730014800478,3.3080803658796962e-18,12.02156889378904,100,0,0,1.0,False,0.9999999999999997,False,6.915502490194517e-32,True
HCMV / US28,NMI,0.9690777290985289,0.9257164915301742,100,0.04336123756835468,0.0003665977179004667,0.0024673871390932874,17.57374709519197,3.364439189356925e-32,0.03846540618083946,0.0482570689558699,3.250220506795304e-18,11.828016228984682,100,0,0,1.0,False,0.9999999999999992,False,2.018663513614155e-31,True
HCMV / US28,Chi2,0.9690777290985289,0.9268348605753167,100,0.042242868523212164,0.0004830912670844901,0.0032514473528069765,12.992019842100126,4.061398997132918e-23,0.03579129156858178,0.048694445477842546,3.664649196030202e-18,8.744283203079329,100,0,0,0.9999999999999999,False,0.9999999996701533,False,2.0306994985664591e-22,True
HCMV / US28,Random,0.9690777290985289,0.48353755398138304,100,0.48554017511714576,0.006087641493614114,0.04097289097918576,11.85027864799192,1.0729708516418317e-20,0.4042410702807432,0.5668392799535483,3.8965598450959084e-18,7.975833919038653,100,0,0,1.0,False,1.0,False,4.2918834065673266e-20,True
HCMV / US28,ANOVA,0.9690777290985289,0.9250505204699144,100,0.04402720862861448,0.0010175302828562749,0.006848490896059481,6.4287460254852755,4.559213881030004e-09,0.030438316899868006,0.05761610035736095,3.440390797466794e-18,4.32686961463468,100,0,0,0.9999985872723075,False,0.9996601247924495,False,9.324864213970371e-09,True
HCMV / US28,CramerV,0.9690777290985289,0.8414306387226614,100,0.12764709037586738,0.00291277073806292,0.019604412977210633,6.511140656149824,3.108288071323457e-09,0.0887476818205853,0.16654649893114948,3.8853646391776985e-18,4.382325347746267,100,0,0,0.9999999838472701,False,0.9999998453275121,False,9.324864213970371e-09,True
HCMV / US28,OddsRatio,0.9690777290985289,0.9699830061250873,100,-0.0009052770265584775,0.00011944071409275514,0.0008038961167690542,-1.1261119536152062,0.262840547088889,-0.0025003813287661288,0.0006898272756491737,1.4585037083220085e-08,-0.7579300186161467,0,59,41,7.667763080860014e-20,True,5.61243130880891e-43,True,0.262840547088889,False
HIV-1 / pooled,CramerV,0.7710583795118485,0.36900766431070203,100,0.40205071520114655,0.002468082182031772,0.04705351225577291,8.544542074047186,1.6128589553920132e-13,0.3086863385515627,0.4954150918507304,3.8965598450959084e-18,16.290005176009608,100,0,0,0.999999999999768,False,0.9999999999993348,False,1.2902871643136106e-12,True
HIV-1 / pooled,Random,0.7710583795118485,0.5828461094345259,100,0.18821227007732275,0.002544764096523093,0.04851543821171624,3.879430486765559,0.00018869567935216828,0.09194711516399197,0.28447742499065354,3.8965598450959084e-18,7.396059632186608,100,0,0,0.999805726834477,False,0.9996101847040633,False,0.001320869755465178,True
HIV-1 / pooled,ANOVA,0.7710583795118485,0.62339896897182,100,0.14765941054002854,0.0027637581497605476,0.05269051773012479,2.8023905799583195,0.006103050666192248,0.043109992072050254,0.25220882900800684,3.8965598450959084e-18,5.34270375838862,100,0,0,0.9948074338073924,False,0.9913909542421735,False,0.03661830399715349,True
HIV-1 / pooled,Chi2,0.7710583795118485,0.7796561159440443,100,-0.008597736432195689,0.0013526343349878759,0.025787713521977014,-0.3334043720032975,0.739534160944669,-0.05976615474515675,0.04257068188076537,6.60460342547236e-08,-0.6356290247705972,28,0,72,0.478372114979538,False,0.32966937443251454,False,1.0,False
HIV-1 / pooled,MI,0.7710583795118485,0.7681871033072777,100,0.002871276204570844,0.0008736506411167577,0.016655981493780753,0.17238709142676234,0.8634851426917172,-0.03017780462069858,0.03592035702984027,0.0063992187977039445,0.32865267527310343,58,0,42,0.3347911742000733,False,0.15313792837748466,False,1.0,False
HIV-1 / pooled,NMI,0.7710583795118485,0.7714233189120558,100,-0.00036493940020738025,0.0007881593991636741,0.015026107403571517,-0.02428702194160004,0.9806725518374347,-0.03017999642673215,0.02945011762631739,0.6648484633803489,-0.04630274035869167,49,0,51,0.26143029674058366,False,0.09716595256046028,False,1.0,False
HIV-1 / pooled,OddsRatio,0.7710583795118485,0.7633539313412574,100,0.007704448170591135,0.0017766709651147196,0.03387189034470537,0.2274584645906969,0.8205363391462623,-0.05950473083364955,0.07491362717483183,0.00020729813201954853,0.4336451893383454,63,0,37,0.47305207387183057,False,0.3586887762435481,False,1.0,False
HIV-1 / pooled,SymChi2,0.7710583795118485,0.7250127917308717,100,0.0460455877809768,0.0038436855737207704,0.07327912642743578,0.6283588523202875,0.5312158641353307,-0.09935609707378548,0.1914472726357391,3.2378376991430734e-17,1.1979540703274458,93,0,7,0.6880585118211094,False,0.6384881146380252,False,1.0,False
SARS-CoV-2 / pooled,Random,0.6672748715107768,0.05009526062565675,100,0.6171796108851201,0.0016336950586841573,0.09249006817474581,6.672928489133058,1.457696528813257e-09,0.43365924975940606,0.8006999720108341,3.8965598450959084e-18,37.77814027191959,100,0,0,0.9999999987901887,False,0.9999999979977204,False,1.1661572230506057e-08,True
SARS-CoV-2 / pooled,SymChi2,0.6672748715107768,0.5827207025167985,100,0.08455416899397829,0.0004384890772849887,0.024824635684847638,3.4060588065583626,0.0009535901141794047,0.035296706051146515,0.13381163193681006,3.8965598450959084e-18,19.28307302829888,100,0,0,0.998308768045475,False,0.9946317364012641,False,0.006675130799255833,True
SARS-CoV-2 / pooled,MI,0.6672748715107768,0.6012547903043572,100,0.0660200812064196,0.0004575813344028213,0.025905525385193792,2.5484942005520232,0.012355426779656587,0.014617898597365828,0.11742226381547337,3.8965598450959084e-18,14.428053821858985,100,0,0,0.9835049157465371,False,0.9606353472660525,False,0.07413256067793952,False
SARS-CoV-2 / pooled,NMI,0.6672748715107768,0.6176828477995943,100,0.049592023711182535,0.0004872029145613915,0.027582522541882586,1.7979509900111457,0.07523288220656271,-0.005137685083935362,0.10432173250630043,3.8965598450959084e-18,10.178925911358345,100,0,0,0.9228378163705635,False,0.8570276126213495,False,0.37616441103281356,False
SARS-CoV-2 / pooled,ANOVA,0.6672748715107768,0.3534839951068897,100,0.31379087640388714,0.005050672578442914,0.2859389508619528,1.0974051470006996,0.2751263606188365,-0.2535740370152352,0.8811557898230095,3.8965598450959084e-18,6.212853269150672,100,0,0,0.8546879449635169,False,0.8466461535940957,False,1.0,False
SARS-CoV-2 / pooled,Chi2,0.6672748715107768,0.6764871717628901,100,-0.009212300252113207,0.0006757862358940798,0.03825898517422285,-0.24078788839177137,0.8102174688471524,-0.0851264271852996,0.06670182668107318,2.0366656656333666e-15,-1.3631973785209068,14,0,86,0.4918076282688461,False,0.389279417673684,False,1.0,False
SARS-CoV-2 / pooled,CramerV,0.6672748715107768,0.5387735239946292,100,0.12850134751614764,0.004868616252837669,0.2756320077899482,0.4662061875414524,0.642092100693749,-0.418412354740467,0.6754150497727622,3.8965598450959084e-18,2.6393813117074227,100,0,0,0.6659080588242896,False,0.6526554107854516,False,1.0,False
SARS-CoV-2 / pooled,OddsRatio,0.6672748715107768,0.5992979895870498,100,0.06797688192372706,0.00560592723695508,0.31737415717364914,0.21418530900275526,0.8308430853642926,-0.5617623007356795,0.6977160645831336,5.94331234302936e-18,1.2125894441799685,96,0,4,0.5722873892543112,False,0.5599246831110295,False,1.0,False
