dataset_gene,top_k,baseline,kss_mean,baseline_mean,mean_difference,se_naive,se_corrected,t_corrected,p_corrected_t,ci95_low,ci95_high,p_holm
HIV-1 / pooled,2,Chi2,0.5182493194488431,0.5233315857556107,-0.005082266306767491,0.0034035208220687227,0.06488747006882582,-0.0783243097839499,0.9377281716100062,-0.13383308436288796,0.12366855174935297,1.0
HIV-1 / pooled,3,Chi2,0.6070334522204337,0.6529469813205785,-0.04591352910014486,0.004143114128771288,0.07898767425755683,-0.581274604319069,0.5623764881493155,-0.20264221132837518,0.11081515312808547,1.0
HIV-1 / pooled,5,Chi2,0.7458283277538256,0.790025883399051,-0.04419755564522569,0.004306140687466363,0.08209574425353254,-0.538365978006514,0.5915328095226584,-0.20709332304618816,0.11869821175573676,1.0
HIV-1 / pooled,7,Chi2,0.8713446892255228,0.8702924500192657,0.001052239206256902,0.0032618152109719785,0.062185879839377525,0.016920870283974015,0.9865337975321644,-0.12233803772035201,0.1244425161328658,1.0
HIV-1 / pooled,10,Chi2,0.9375882594908466,0.9243399945084297,0.013248264982416678,0.0020256964766607525,0.038619513841539374,0.34304587667198355,0.7322913118449095,-0.06338122904399202,0.08987775900882539,1.0
HIV-1 / pooled,15,Chi2,0.9687098325595299,0.9687653278573295,-5.549529779933171e-05,0.0013018549579461153,0.024819614462160435,-0.0022359451990657995,0.9982204747012644,-0.04930299504545746,0.0491920044498588,1.0
HIV-1 / pooled,20,Chi2,0.9791422266798707,0.9840973931607203,-0.004955166480849743,0.0009157439053140492,0.01745848148231932,-0.283825743141978,0.7771366618518986,-0.039596581387025306,0.029686248425325818,1.0
HIV-1 / pooled,25,Chi2,0.9856613224454782,0.9900641886661535,-0.00440286622067551,0.0007431748803502468,0.014168486201685457,-0.3107506446349754,0.7566435114422027,-0.03251621672037804,0.023710484279027024,1.0
SARS-CoV-2 / pooled,1,Chi2,0.186106768647672,0.186106768647672,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
SARS-CoV-2 / pooled,2,Chi2,0.44784559954384784,0.42822659951294684,0.01961900003090106,0.004035598199679009,0.2284714951117166,0.08587066855455154,0.9317426571156089,-0.4337180135240603,0.4729560135858624,1.0
SARS-CoV-2 / pooled,3,Chi2,0.5453630163349203,0.4917248016736325,0.05363821466128785,0.0022166689111783626,0.1254945698867801,0.4274146260645356,0.6700055721267122,-0.19537023824010755,0.3026466675626832,1.0
SARS-CoV-2 / pooled,5,Chi2,0.6402096459359945,0.6402085754182734,1.0705177210634798e-06,1.4852517815380697e-05,0.0008408609538291853,0.0012731209793824577,0.9989867585839171,-0.0016673800407939296,0.0016695210762360565,1.0
SARS-CoV-2 / pooled,7,Chi2,0.6540697911944345,0.6830467533737428,-0.02897696217930827,0.000976761078916817,0.055298385276514594,-0.5240110002201978,0.6014420836008915,-0.13870095564032528,0.08074703128170874,1.0
SARS-CoV-2 / pooled,10,Chi2,0.8052573549454363,0.8052434885905565,1.386635487961918e-05,1.9345836258493973e-05,0.001095245838526774,0.012660495380900923,0.9899241346083298,-0.0021593390040796855,0.002187071713838924,1.0
SARS-CoV-2 / pooled,15,Chi2,0.8772437384385822,0.9370662171382115,-0.05982247869962933,0.002024831071025467,0.11463385581415002,-0.5218569878397569,0.6029355426342558,-0.28728091863177896,0.1676359612325203,1.0
SARS-CoV-2 / pooled,20,Chi2,0.8842889030021713,0.9545673307553666,-0.07027842775319534,0.0012216951171529933,0.0691650893314477,-1.0160968261952557,0.312060102503572,-0.20751697046264272,0.06696011495625204,1.0
SARS-CoV-2 / pooled,25,Chi2,0.9650890255539326,0.9621940107556081,0.0028950147983244413,0.0009544684189386259,0.05403630785868853,0.05357536280782275,0.9573814489183275,-0.10432474325602768,0.11011477285267655,1.0
